restaurant_id, cuisine_type
1,Burgers
1, American
1, Sandwiche
2,Coffee and Tea
2, Breakfast and Brunch
2, Bubble Te
3,American
3, Cheesesteak
3, Sandwiches
3, Alcoho
4,iz
5,Breakfast and Brunch
5, Burgers
5, Sandwiche
6,Seafood
6, Sushi
6, Stea
7,Sushi
7, Asian
7, Japanes
8,Vegetarian
8, Asian
8, Asian Fusion
8, Chinese
8, Indian
8, Health
9,Seafood
9, Fast Food
9, Fish and Chips
9, America
10,Desserts
10, Vegetarian
10, Coffee and Te
11,Desserts
11, Ice Cream + Frozen Yogur
12,Ice Cream &amp; Frozen Yogurt
12, Comfort Food
12, Dessert
13,Burgers
13, Fast Food
13, American
13, Comfort Food
13, Diner
13, Chicke
14,Breakfast and Brunch
14, salad
14, Sandwich
14, Family Meals
14, Pizza
14, Healthy
14, American
14, Chicke
15,Indian
15, Vegetarian
15, Pakistani
15, Chicken
15, Indian Curr
16,Ice Cream &amp; Frozen Yogurt
16, Comfort Food
16, Dessert
17,Halal
17, Chicken
17, Wing
18,iz
19,Middle Eastern
19, Mediterranean
19, Vegetarian
19, Greek
19, Health
20,American
20, Burgers
20, Sandwic
21,Juice and Smoothies
21, Bubble Tea
21, Healthy
21, Frui
22,Caribbean
22, Cuban
22, Coffee and Tea
22, Breakfast and Brunc
23,Juice and Smoothies
23, Drinks
23, Comfort Foo
24,Bakery
24, Dessert
25,Wings
25, Burgers
25, Sandwiche
26,Seafood
26, Sushi
26, Stea
27,Italian
27, Exclusive to Eat
28,Mexican
28, Breakfast and Brunch
28, Burrito
29,Wings
29, Burgers
29, BB
30,American
30, Comfort Foo
31,Black-owned
31, Burgers
31, Comfort Food
31, Wings
31, Exclusive to Eat
32,Ice Cream &amp; Frozen Yogurt
32, Comfort Food
32, Desserts
32, Exclusive to Eat
33,Salads
33, Sandwich
33, Wings
33, Burgers
33, Seafood
33, Healthy
33, Black-owne
34,ot D
35,Bakery
35, Breakfast and Brunch
35, Cafe
35, Coffee &amp; Te
36,Mexican
36, Fast Food
36, Salads
36, Health
37,Mexican
37, Breakfast and Brunch
37, Burrito
38,Salads
38, Vegetarian
38, Bowl
39,Vegan
39, Healthy
39, Vegetaria
40,iz
41,Sandwich
41, Salads
41, Healthy
41, Family Meal
42,Sandwich
42, Del
43,Burritos
43, Fast Food
43, Mexica
44,Bakery
44, Desserts
44, Exclusive to Eat
45,Indian
45, Pasta
45, Pizz
46,Vegetarian
46, Vegan
46, Indian
46, Pakistani
46, Indian Curr
47,Indian
47, Vegetarian
47, Asian
47, Health
48,Chinese
48, Comfort Foo
49,Italian
49, Pasta
49, Comfort Foo
50,Healthy
50, Sandwich
50, Sou
51,Chinese
51, Chicken
51, Noodle
52,Indian
52, Vegetarian
52, Vegan
52, Indian Curry
52, Health
53,French
53, Pizza
53, Salads
53, Sandwich
53, Healthy
53, Dessert
54,Indian
54, Vegetarian
54, Asian
54, Health
55,Sushi
55, Asian
55, Japanes
56,Chinese
56, Seafood
56, Noodle
57,Chinese
57, Asian
57, Cantones
58,Chinese
58, Asian
58, Asian Fusio
59,Sushi
59, Asian
59, Japanes
60,iz
61,Chinese
61, Vegetarian
61, Sou
62,Chinese
62, Asia
63,Mexican
63, Seafoo
64,Asian
64, Seafood
64, Noodle
65,Indian
65, Vegetarian
65, Asia
66,Mediterranean
66, Greek
66, Vegetaria
67,Asian
67, Chicken
67, Chines
68,Mexican
68, Salads
68, Taco
69,Chinese
69, Asian
69, Asian Fusio
70,Japanese
70, Chinese
70, Asia
71,Indian
71, Vegetarian
71, Asian
71, Health
72,Mediterranean
72, Greek
72, Vegetaria
73,Asian
73, Chinese
73, Comfort Foo
74,Mediterranean
74, Desserts
74, Salad
75,Mediterranean
75, Greek
75, Vegetaria
76,Asian Fusion
76, Seafood
76, Salad
77,Chinese
77, Soup
77, Seafoo
78,Indian
78, Vegetarian
78, Asia
79,Vegetarian
79, Vegan
79, Health
80,Indian
80, Vegetarian
80, Salad
81,Indian
81, Vegetarian
81, Asia
82,Seafood
82, American
82, Souther
83,Seafood
83, American
83, Drink
84,Soul Food
84, American
84, Souther
85,Burgers
85, American
85, Sandwiches
85, Comfort Food
85, Souther
86,Seafood
86, American
86, Souther
87,Seafood
87, American
87, Souther
88,American
88, Southern
88, Comfort Foo
89,BBQ
89, American
89, Burger
90,Seafood
90, American
90, Southern
90, Exclusive to Eat
91,Burgers
91, American
91, New America
92,Burgers
92, American
92, Sandwiche
93,Burgers
93, American
93, Sandwiche
94,American
94, Burger
95,American
95, Exclusive to Eat
96,Burgers
96, American
96, Sandwiche
97,BBQ
97, American
97, Burger
98,Pizza
98, American
98, Wing
99,American
99, Burgers
99, Exclusive to Eat
100,Wings
100, American
100, Fast Foo
101,American
101, Burger
102,Comfort Food
102, American
102, Wing
103,Wings
103, American
103, Fast Foo
104,American
104, Breakfast and Brunch
104, Coffee and Te
105,American
105, Chicken
105, Sandwiche
106,Mexican
106, Breakfast and Brunch
106, Sou
107,Comfort Food
107, American
107, Burger
108,Mexican
108, Latin American
108, New Mexica
109,American
109, Sandwiches
109, Burger
110,American
110, Deli
110, Sandwiche
111,Pizza
111, American
111, Italia
112,Breakfast and Brunch
112, American
112, Coffee and Te
113,American
113, Sandwiches
113, Past
114,Sandwich
114, Fast Food
114, Health
115,Wings
