user_id, restaurant_id
34335,37746
43694,24940
48146,16002
12603,11472
585,7701
19438,36472
2419,23576
17217,23527
1921,23833
5168,9479
46389,31915
11650,33331
18008,17082
5189,27086
37444,21408
10526,21113
2876,12954
36421,1984
19625,11070
49987,37588
49146,30916
27684,5731
17265,10056
8112,4308
12521,28004
680,15182
11424,2827
23123,26559
14011,14945
7414,37635
33293,32170
33098,22048
41321,14972
594,36248
15957,18147
30605,15564
5556,4915
36924,23921
10773,39105
13392,6172
28846,25660
39389,3039
19153,32463
19664,9057
44334,2464
31905,13626
6572,3980
17914,20481
31621,29714
42299,434
14617,33274
4964,29543
33812,24929
15671,35974
34139,23350
19242,11592
42236,32485
19539,32877
32850,23398
49408,19463
21561,11548
3963,29091
17469,11657
4618,22461
29407,16090
41896,623
35362,21285
19895,25094
21971,252
33865,6500
46755,28725
24597,38498
31330,35792
29491,35398
10669,2228
753,6283
22481,14487
46094,28210
11204,5651
22957,13926
27768,3682
26787,10132
28522,30184
15252,37870
19640,21292
14794,37344
38141,7969
9435,34473
38004,6974
27230,25791
31336,1290
20266,7336
10897,25938
47719,24988
4124,1570
24665,36675
4112,14047
46990,6198
22725,16743
9194,171
17517,21134
6598,20078
42416,3599
14770,2281
45364,31525
14396,968
27677,13481
35534,5921
48971,29357
38279,15412
44213,31885
7823,12112
7242,37454
31627,26191
49887,20352
1856,13314
5558,26541
38247,36874
7700,14357
5542,33465
16357,16466
32216,6916
41353,4126
3924,2767
21589,15900
40650,10024
25713,36544
6315,23271
37908,22692
38821,5007
3061,29385
11675,467
4269,32902
48822,13590
35354,7106
37982,1122
18778,9687
7827,36456
10957,28058
11848,40197
14908,6206
34660,7770
36889,38929
1270,30649
27479,39758
45946,3644
2326,26980
27332,11968
47989,24431
32855,21676
27754,5572
719,5601
40374,8015
46444,37295
17522,24486
3001,15473
49221,15993
18945,33902
40275,6906
36755,2305
10474,3555
8258,25065
39173,35339
42564,4087
43287,23766
23082,35797
28634,32793
3788,18255
39046,17113
32829,10001
48792,32976
39629,1417
22479,14990
24120,3287
47185,21848
39473,31526
4662,32164
49783,17621
6888,34730
36435,7281
49420,27463
40848,10859
21424,27950
22935,4057
36681,34819
42551,13884
5867,33027
29302,23460
40134,28106
2911,14920
45946,34141
28665,10501
4024,21041
30528,34278
38607,9581
39457,544
44939,22254
5256,6174
11437,1576
23716,39216
29032,26196
49304,34711
6454,27148
12873,5331
4364,17657
49876,19549
8998,5583
24683,5303
15217,2891
24785,8260
15888,19248
14706,16027
15847,26321
38361,21091
39068,19013
7801,10484
26945,24511
1268,32874
17555,39065
10336,28788
26917,10095
44973,31274
19978,17916
25851,20972
43077,11048
18036,14553
22964,17777
9765,39930
13420,17240
39734,24164
27390,27086
24212,2211
30355,34772
8152,11901
44373,27250
388,6417
40365,5999
23862,7757
32566,11738
27303,28320
38027,13474
9995,30851
17067,9841
25244,6984
19635,8661
23967,15420
47562,11610
4985,39997
5476,28481
11695,29605
1614,24053
1270,15563
11564,5750
11905,8580
29408,10490
34192,13726
19208,29978
27920,27057
5657,38369
43927,13189
1078,22173
16153,2760
43406,36990
9524,35899
32667,24299
40069,26513
40629,24087
42203,5628
27583,30681
15502,9250
30878,32
2499,39276
25004,25939
100,3654
24135,28009
46601,19006
46825,24313
48945,34465
31655,15257
18824,4178
7524,6230
28304,15273
802,2778
12011,5385
6307,35729
29582,16833
3151,8236
41994,11707
36574,29450
509,25544
5187,16572
31595,10478
45077,32627
18043,28196
6792,27036
32557,15956
18789,22187
30375,38443
5256,38880
21521,32567
32711,23169
21233,28359
15207,26937
17077,33581
3617,32487
49910,19434
7833,32382
36279,24725
31022,3997
26697,13169
4878,25692
8650,36263
9876,8508
14193,38000
39376,5717
38714,6140
17270,6749
49301,21315
33896,38654
24177,32137
7834,3254
8469,14303
47472,26543
13547,21671
12431,38245
21326,2207
27393,12753
21424,11175
13703,25369
18600,21974
29037,34617
8543,17710
21903,32396
22599,23876
22050,33443
10997,26416
27150,10508
19356,36920
23751,12115
8825,33661
31534,13249
12988,15357
27054,26731
34419,26398
13925,35318
2083,31225
3665,4665
42523,14988
18223,23160
22509,37312
24016,29171
22938,21523
35639,28035
38159,16743
8994,22396
34346,8230
46883,7371
39323,13742
48336,9467
49667,31267
11719,35264
16756,33141
5455,35054
3810,39159
18228,34015
48211,12384
13863,37969
33784,16040
18521,39882
19272,30579
5428,13811
4142,20029
49612,17896
9706,22148
10703,3373
4735,303
36099,19496
37122,9957
32128,4127
48094,17691
16288,39465
14422,15247
11080,9259
25925,13998
49514,24246
23061,1046
34934,21482
13677,38236
33451,28610
30485,36993
43699,10580
10466,24368
10689,39548
25135,9057
3744,16195
18495,18141
15909,18407
10944,36928
14810,199
22755,4113
13954,19154
32935,28398
26003,12320
2417,13356
27292,29650
13464,20375
6205,37452
19212,27798
18493,37137
35988,31514
4086,14409
30758,37709
13817,12685
5542,12754
13703,15657
3087,16782
9849,25741
23587,9436
2782,19343
33696,5559
12714,6221
38564,36539
37255,10046
13095,13423
42868,38483
27230,20954
42678,38621
40964,10206
31653,26507
14940,31365
46740,6534
43229,10536
27744,1121
26207,36363
9812,19225
18589,9857
359,26078
19861,1334
34799,38316
8836,5071
29097,26245
6572,18420
17763,26583
21463,17412
48586,39018
29407,39285
36084,482
45606,5746
46990,16247
32682,700
32539,10616
44099,11542
2039,20184
2313,5085
5841,27098
28329,29321
3029,19637
1126,28463
17092,7838
31398,22028
27620,25452
45358,7819
25501,16336
4160,26173
45077,19063
21752,14441
13196,25388
40462,24026
45438,14529
4123,11
48588,15357
35233,17314
43316,12910
4271,20766
21593,29595
35913,37146
23854,9312
23854,35480
13531,22503
21076,12816
32684,22096
17272,23634
15395,33746
3076,12746
15031,32848
10827,37494
12349,3549
40989,25928
12589,36171
12208,21779
8299,6911
34232,23228
698,28665
48080,15789
28506,20289
11330,1143
17198,30727
18091,34236
44165,16329
25322,25840
30698,24530
14537,32263
44376,31687
38613,15515
33194,23543
32711,36307
11664,2219
35709,35578
40494,32908
32385,34849
1337,5815
38353,39793
14494,2901
43913,34838
22373,2004
45000,39169
14711,1592
3726,7243
19993,14421
41651,35359
49194,15564
10074,8734
34679,38759
17079,26070
46167,7370
13185,18119
18468,28069
46350,12313
25383,9708
37268,7754
39279,17360
48916,9512
19567,21740
3248,9779
18043,1419
79,24890
17776,9625
42797,21993
36387,38227
43220,37963
28211,549
28708,19610
30497,19933
28847,36722
47788,2686
25611,26646
10287,38853
26045,24894
13528,24906
37444,19174
27122,37174
45291,32903
34128,26433
14024,28418
11957,10364
39962,4932
41369,34037
852,34031
27620,20180
21227,6883
48630,23471
39834,32725
5994,39817
9975,25763
9876,31070
4955,4281
24074,11373
27292,19950
6631,17132
4790,26283
36085,34291
45082,34288
17603,1282
35939,29927
8258,25053
46316,37832
30238,30439
12261,33097
10266,38014
46094,16577
14728,6247
20382,22712
5549,20891
11119,15998
38959,36487
47441,32212
41563,4989
35914,33734
29897,31597
27848,11864
27744,17168
43585,22397
5139,10853
34627,38539
31226,2350
18020,27476
16221,23567
39467,6987
38714,32482
22354,7160
15870,18643
23721,6771
577,11025
45964,9347
6892,691
28764,25853
9794,8924
38329,26540
45555,32232
2167,15092
48642,14032
14726,20589
13061,23645
38267,6530
15888,4957
3978,15985
14935,27690
37098,32685
18766,5492
329,30068
36307,240
11609,31075
30698,12172
28890,8098
48429,14690
14666,648
12870,15506
32388,36213
41742,37111
43201,7604
38381,32637
34442,30909
26193,13865
37977,971
35675,38929
20937,27866
25382,24513
31653,11645
28304,8132
7374,40209
8112,12686
2820,30695
10669,32640
41630,19620
13196,18606
7190,32182
5187,16370
13306,30765
45780,9087
46133,32010
14674,32251
12691,9564
24826,7917
5189,27243
18758,38509
6785,2852
4036,18900
3625,38854
27150,9941
43261,34556
31574,30782
44334,27577
964,34328
44327,23761
13349,16392
32897,6551
26668,12843
34490,1663
38931,34471
22664,25983
35986,39183
34827,21126
48452,7517
32238,34760
15273,31969
44994,2667
5476,32369
37945,31307
44208,2176
17405,27790
3963,16372
43380,1207
28790,3250
24760,27892
12465,35782
5556,29050
43047,35700
21143,15608
3292,16590
4676,30083
7454,31663
35319,9244
10923,25378
4123,20215
14149,12521
43230,34102
42436,23165
46987,4152
3282,16630
22432,20225
12699,13717
29833,402
21424,773
39362,23594
14674,39186
10005,5896
10399,29486
4081,33878
16267,19221
7900,15274
3595,5663
28326,28745
23232,15812
15938,30337
28334,27270
37875,23597
9447,11897
27174,28923
23568,21635
7012,37033
30425,24628
25352,22319
34453,28910
9689,1452
21211,20791
44421,18091
41655,20755
47501,31995
48773,35730
13010,30862
16982,19059
20990,15899
4509,1680
48904,22299
29310,11086
2326,21779
39149,16607
38531,2359
43380,1589
30811,10998
38535,14984
39585,36285
25611,24544
18495,9147
6396,25776
49139,10874
9675,22215
8137,21949
33024,30599
15293,5522
36889,35793
39548,34150
24349,17246
35583,18282
6664,23504
33050,33228
26839,24843
15588,7600
11455,6332
16835,7965
37945,32765
45606,17965
33055,34625
7469,26717
33245,16473
42684,16343
3924,20025
20514,25974
10547,10599
34566,15968
21048,5298
16794,5912
29094,35276
38966,7464
25249,9331
32645,21412
41255,31006
39457,3212
41561,27103
37875,23388
13907,6242
34603,16784
37574,15642
25244,21489
34577,20670
16153,35429
1560,28433
25004,33063
5256,18063
33909,10608
26823,4670
5752,10356
23920,27715
13364,10161
3041,9212
6735,13185
49723,5494
39484,35456
21404,19694
25941,9573
40186,6445
13885,32962
6122,9914
14291,7097
3728,37516
12110,12051
19959,8491
31653,32557
26731,2155
1661,20603
27739,22069
9706,23004
11119,13243
21950,1603
7560,5512
5218,14264
26301,14671
20438,21949
25734,18061
40964,33801
49414,8421
531,15442
49303,26586
13246,7585
16651,16514
2681,432
45805,891
8152,23243
48642,20611
26755,13732
5825,1628
3423,36454
48021,685
29276,34819
426,12725
45335,40165
3489,38398
12741,13318
10584,6973
26184,18047
17677,39382
27260,10647
14794,38357
29905,12537
40650,21595
41786,11371
132,3766
9098,35347
46985,29753
12923,19175
35748,26076
30720,39492
10469,15566
4450,16008
39279,17784
5066,25575
19979,12263
45821,18039
7123,37398
39904,39176
36160,27703
30183,20260
24692,20845
49630,37505
29352,2245
18009,24353
17484,23801
39842,19456
45834,38739
7560,12907
22824,10542
28961,32295
9262,33027
41651,40097
37661,39352
43857,32148
40951,33541
46206,2588
45404,6223
11957,28308
35116,369
29310,33147
39965,34670
48940,28602
15909,2628
21683,35058
47842,27747
4483,34238
8468,10213
49304,36454
40147,30740
24035,3048
39010,9579
38702,13158
11664,33231
38743,34340
5370,10074
24975,33918
43809,15361
28172,1364
1099,33722
21664,535
22460,34259
26027,20810
11276,23239
15721,26725
14653,6176
47638,24998
45479,20825
27275,4983
39057,35703
1324,3857
39424,35456
277,23988
40781,20383
25391,25516
28846,33918
12640,30632
9840,17974
36743,7698
3289,22452
30406,28087
7407,5284
14230,37673
31909,31985
29515,14125
4446,36414
8128,5066
27250,26774
30611,24364
34453,33438
13621,3932
34340,10696
40417,28690
1800,27729
45073,24552
11006,31276
28683,24294
9994,6119
495,6714
21984,29869
19271,26086
49669,28645
10160,7561
48345,3174
20941,16541
30199,28556
13863,23713
28890,38350
16669,37198
30142,36937
39050,7207
33655,8622
13923,35083
23271,11839
23866,21434
