id,user_id,restaurant_id,total_rating,food_rating,service_rating,ambience_rating
1,1066,37650,4,5,5,4
2,16880,944,2,3,3,1
3,40295,1155,3,5,3,3
4,23865,23553,3,4,4,2
5,30391,34168,2,3,1,4
6,45923,6102,3,5,3,3
7,5025,38435,4,5,4,4
8,44036,17990,3,3,5,2
9,8928,13499,4,5,4,3
10,31971,12911,3,5,1,4
11,43727,29203,2,4,2,2
12,47477,4439,2,1,1,5
13,16355,21021,2,4,2,1
14,45662,34330,2,1,1,4
15,1873,12961,4,4,4,5
16,17293,15135,4,4,4,5
17,27812,34704,1,2,1,2
18,30924,39469,2,3,2,3
19,40059,17611,3,3,4,2
20,33985,18875,4,3,4,5
21,37245,31501,4,5,3,4
22,3265,28605,3,5,2,2
23,24189,25314,4,5,5,2
24,49867,8416,3,4,4,3
25,10485,9897,3,3,3,5
26,49001,11071,2,2,1,4
27,28868,15403,3,4,5,2
28,29869,27761,3,4,3,3
29,11764,23248,2,4,2,2
30,896,10433,3,1,4,4
31,32743,15378,3,4,5,1
32,19732,2687,3,3,4,2
33,47870,3522,3,4,3,4
34,41965,8674,3,3,4,3
35,28467,25411,2,4,1,2
36,31727,16910,3,5,3,3
37,15313,12590,3,2,3,5
38,10427,13114,3,4,4,1
39,6544,451,4,5,4,3
40,9375,13085,3,5,1,5
41,10381,18006,2,1,4,3
42,28178,16317,2,2,3,1
43,9794,5422,4,4,3,5
44,26429,21036,2,3,4,1
45,12704,6022,4,5,5,4
46,41002,15306,2,1,1,5
47,7317,15221,4,5,4,3
48,41750,27061,2,2,3,3
49,37614,23322,2,5,1,1
50,26202,7824,4,5,4,5
51,23127,39608,2,4,3,1
52,10051,30103,2,2,4,2
53,37477,3979,2,3,3,2
54,19941,37651,3,5,3,1
55,47137,37420,1,1,1,1
56,9161,26256,3,4,3,2
57,12414,5756,4,5,5,3
58,46601,738,3,5,1,4
59,29509,23694,3,3,4,3
60,18228,19497,3,3,3,5
61,26159,29718,3,1,5,5
62,11475,25220,2,1,3,2
63,3701,25592,3,2,2,5
64,7334,36973,4,4,4,5
65,19717,2489,3,5,3,1
66,30194,6559,3,2,4,4
67,25444,35291,2,3,1,3
68,36003,36698,3,4,1,4
69,38695,20259,4,3,5,4
70,26622,7548,4,4,4,5
71,1909,17278,3,3,5,2
72,42602,1317,3,1,5,5
73,15246,16771,3,5,4,2
74,10601,16088,3,3,2,5
75,24573,23377,2,2,2,2
76,40675,22840,3,4,5,1
77,4718,18980,2,5,1,1
78,36059,24941,5,5,5,5
79,15286,6946,2,1,3,4
80,8943,26409,2,1,4,3
81,48968,2706,3,3,5,3
82,3435,19409,2,4,1,2
83,31330,5874,2,3,4,1
84,39097,4386,2,1,4,2
85,39471,37937,2,2,1,5
86,24974,33453,2,4,1,1
87,579,1448,4,5,4,5
88,9408,27014,2,2,2,3
89,17301,21217,3,2,4,3
90,5363,20046,1,2,2,1
91,27331,4486,2,4,1,1
92,31168,17842,2,3,1,2
93,16212,36823,2,5,1,1
94,26152,2865,3,5,5,1
95,47916,1656,3,4,2,4
96,37969,14239,3,4,1,4
97,31197,35282,2,1,3,4
98,23119,40047,3,1,5,3
99,30513,1813,3,5,1,3
100,48983,11574,3,3,4,2
101,31593,33941,4,5,2,5
102,36690,28275,2,2,3,3
103,40767,39614,3,1,3,5
104,13426,1728,4,5,4,3
105,13663,27458,3,5,1,5
106,27983,7843,1,1,2,1
107,13886,23334,3,3,4,2
108,23344,12685,3,2,2,5
109,9576,13359,2,5,1,2
110,37141,27589,3,4,5,1
111,46837,16936,2,1,5,2
112,32512,10107,3,5,2,4
113,27247,6809,3,3,4,2
114,5319,12094,3,3,3,5
115,1210,36639,2,1,5,2
116,21879,34448,4,3,5,4
117,25712,2638,3,1,5,4
118,37531,11482,1,2,2,1
119,32371,12830,4,4,5,5
120,37962,15333,3,2,4,3
121,31012,38238,3,4,1,5
122,33596,18965,4,4,5,4
123,6718,6979,2,4,2,2
124,10386,35701,3,3,2,4
125,23381,23639,4,5,3,5
126,12402,5572,4,3,5,5
127,47086,15936,4,4,4,4
128,27405,4001,3,3,3,4
129,48394,37572,2,4,2,1
130,37145,25911,2,3,2,3
131,11128,32374,5,5,5,5
