id, name, fullAddress, priceRange, zipCode
1,PJ Fresh (224 Daniel Payne Drive),"224 Daniel Payne Drive, Birmingham, AL, 35207",$,35207
2,J' ti`'z Smoothie-N-Coffee Bar,"1521 Pinson Valley Parkway, Birmingham, AL, 35217",,35217
3,Philly Fresh Cheesesteaks (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
4,Papa Murphy's (1580 Montgomery Highway),"1580 Montgomery Highway, Hoover, AL, 35226",$,35226
5,Nelson Brothers Cafe (17th St N),"314 17th St N, Birmingham, AL, 35203",,35203
6,Ocean Restaurant,"1218 20th Street South, Birmingham, AL, 35205",$$,35205
7,Jinsei Sushi,"1830 29th Ave S, Birmingham, AL, 35209",$,35209
8,Little India,"2236 Highland Ave, Birmingham, AL, 35205",$,35205
9,Captain D's (1284 Decatur Hwy),"1284 Decatur Hwy, Gardendale, AL, 35071",$,35071
10,Cajun Bistro Express,"1515 Pearson Ave SW, Birmingham, AL, 35211",$,35211
11,The Ice Cream Shop ,"26600 Highway 31, Jamison, AL, 35085",$,35085
12, The Ice Cream Shop,"4414 4th Ave 5, Birmingham, AL, 35222",$,35222
13,Bunrise Burgers,"1100 Forestdale Boulevard, Birmingham, AL, 35214",,35214
14,Panera (521 Fieldstown Road),"521 Fieldstown Road, Gardendale, AL, 35071",$,35071
15,The Imperial Indian,"1024 20th Street South Unit 101, Birmingham, AL, 35205",,35205
16,Jeni's Splendid Ice Cream (Pepper Place),"219 29th St S, Birmingham, AL, 35233",$$$,35233
17,Exotic Wings &amp; Things,"208 Green Springs Avenue South, Birmingham, AL, 35205",,35205
18,Papa Murphy's (1031 Montgomery Highway),"1031 Montgomery Highway Suite 123, Vestavia Hills, AL, 35216",$,35216
19,Falafel Cafe,"401 19th St S, Birmingham, AL, 35233",$,35233
20,MrBeast Burger (838 Odum Road),"838 Odum Road, Gardendale, AL, 35071",$$,35071
21,Magic City Nutrition,"2201 2nd Ave S, Birmingham, AL, 35233",,35233
22,Miami Fusion Cafe,"2015 5th Ave N, Birmingham, AL, 35203",$,35203
23,Golden Temple Vegetarian Cafe,"1901 11th Ave S, Birmingham, AL, 35205",,35205
24,Cinnabon baked at Flying J (224 Daniel Payne Drive),"224 Daniel Payne Drive, Birmingham, AL, 35207",$,35207
25,Rjt Rae'z Wings &amp;Thiings Bbq,"100 3rd Avenue North, Birmingham, AL, 35204",,35204
26, Five Point Public House Oyster Bar,"1210 20th St S, Birmingham, AL, 35205",$,35205
27,Ruscelli's Food Truck at Mojo Pub,"2801 7th Ave S, Birmingham, AL, 35233",$,35233
28,Sunny &amp; Fine's Breakfast Burritos (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
29,Hollywood Grill Food Truck #1 ,"5951 Warrior River Road, Bessemer, AL, 35023",$$,35023
